Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F10,2400.0,10,PSO,5.660001426697168e+02,9.485865579479712e+02,7.240695666644870e+02,6.576219993757732e+02,1.631043647235462e+02,0.4938
F10,2400.0,10,DE,1.838053026290138e+03,2.614242020786122e+03,2.179878271126173e+03,2.087339766302260e+03,3.235633579898028e+02,0.7177
F10,2400.0,10,GA,9.465698179771789e+02,2.599123415735074e+03,1.921238302365376e+03,2.218021673383875e+03,7.065378618543000e+02,0.6365
F10,2400.0,10,ABC,1.206571398466137e+03,1.425239774965833e+03,1.319779333456706e+03,1.327526826938148e+03,8.943892687820339e+01,0.7000
F10,2400.0,10,GWO,1.984421282923302e+03,2.528268462717759e+03,2.307207250028739e+03,2.408932004445156e+03,2.333857793274281e+02,0.6430
F10,2400.0,10,WOA,-5.138442207466337e+02,2.579363571668625e+03,7.240922986783490e+02,1.067575451130560e+02,1.336116327329388e+03,0.6026
F10,2400.0,10,SCA,1.647269091341523e+03,2.184400947012937e+03,1.954997112669345e+03,2.033321299653576e+03,2.261690610941436e+02,0.5632
F10,2400.0,10,HHO,7.932841440477682e+02,2.739388143692798e+03,2.048863078860244e+03,2.613916948840165e+03,8.893048226350960e+02,1.0507
F10,2400.0,10,MPA,-4.667609251059603e+02,2.712812724881726e+03,1.009635669953379e+03,7.828552100843719e+02,1.307923081749026e+03,0.5770
F10,2400.0,10,AO,7.154811482440432e+02,1.980911424833649e+03,1.396336036275120e+03,1.492615535747668e+03,5.210762917535363e+02,0.5546
F10,2400.0,10,DBO,1.065214252105308e+03,1.872614681654573e+03,1.580029685217246e+03,1.802260121891856e+03,3.651608217827000e+02,0.5459
F11,2600.0,10,WSOA,2.600002604352351e+03,2.600045240279429e+03,2.600022443563435e+03,2.600019486058525e+03,1.753122349643780e-02,1.1652
F11,2600.0,10,PSO,2.633004668041830e+03,3.468585253994899e+03,2.916644264174980e+03,2.648342870488209e+03,3.903314465904720e+02,0.8564
F11,2600.0,10,DE,2.600329998646904e+03,2.600459956975058e+03,2.600377078551834e+03,2.600341280033539e+03,5.878459094141691e-02,1.1022
F11,2600.0,10,GA,2.600610441077822e+03,2.602257737011147e+03,2.601246627813790e+03,2.600871705352401e+03,7.228744068083683e-01,0.9842
F11,2600.0,10,ABC,2.602236042342442e+03,2.607019286155822e+03,2.603881572516974e+03,2.602389389052658e+03,2.219581636697075e+00,1.0838
F11,2600.0,10,GWO,2.600213739173278e+03,3.463352850612163e+03,2.888829157098155e+03,2.602920881509023e+03,4.062511029413872e+02,1.0358
F11,2600.0,10,WOA,2.600390201944576e+03,3.463411082479020e+03,2.892293441861892e+03,2.613079041162082e+03,4.038743791727218e+02,1.0064
F11,2600.0,10,SCA,2.627130960003156e+03,2.645777413202065e+03,2.633455545752724e+03,2.627458264052951e+03,8.713900583343815e+00,0.9687
F11,2600.0,10,HHO,2.600530182834967e+03,2.621903126602564e+03,2.607691558403463e+03,2.600641365772859e+03,1.004919875478263e+01,1.7360
F11,2600.0,10,MPA,2.600045425375913e+03,2.600135331236365e+03,2.600081954514160e+03,2.600065106930202e+03,3.858883042051522e-02,0.9776
F11,2600.0,10,AO,2.600004331230219e+03,2.622499029430986e+03,2.607503596038171e+03,2.600007427453308e+03,1.060337271423287e+01,0.9397
F11,2600.0,10,DBO,2.612437280265599e+03,2.723554163950794e+03,2.655302636475310e+03,2.629916465209536e+03,4.878581575710069e+01,0.9417
F12,2700.0,10,WSOA,2.853726304211561e+03,2.862879829017202e+03,2.858865843250894e+03,2.859991396523918e+03,3.820724775892661e+00,1.2822
